,Source_airport,Destination_airport,Routes
1973,Barbados,Trinidad and Tobago,3
1974,Antigua and Barbuda,Saint Kitts and Nevis,3
1975,Antigua and Barbuda,Dominican Republic,3
1976,Singapore,Netherlands,3
1977,Kenya,Netherlands,3
1978,Japan,Italy,3
1979,Italy,Japan,3
1980,Italy,Lebanon,3
1981,South Africa,Netherlands,3
1982,Lebanon,Italy,3
1983,Netherlands,Singapore,3
1984,Netherlands,Kenya,3
1985,Netherlands,South Africa,3
1986,Finland,Netherlands,3
1987,Netherlands,Finland,3
1988,El Salvador,Guatemala,3
1989,Peru,Colombia,3
1990,Colombia,Peru,3
1991,Tunisia,Morocco,3
1992,Portugal,Morocco,3
1993,Benin,Nigeria,3
1994,Morocco,Tunisia,3
1995,Morocco,Portugal,3
1996,Morocco,United Arab Emirates,3
1997,United Arab Emirates,Morocco,3
1998,Costa Rica,Mexico,3
1999,Chile,Mexico,3
2000,Mexico,Costa Rica,3
2001,Mexico,Chile,3
2002,Mexico,Argentina,3
2003,Malaysia,Sri Lanka,3
2004,Sri Lanka,Malaysia,3
2005,Maldives,India,3
2006,India,Maldives,3
2007,Italy,Algeria,3
2008,Syria,Algeria,3
2009,Algeria,Italy,3
2010,Algeria,Syria,3
2011,Bulgaria,France,3
2012,Singapore,France,3
2013,Niger,France,3
2014,Kenya,Zambia,3
2015,Kenya,Malawi,3
2016,Kenya,Djibouti,3
2017,Mauritius,France,3
2018,Luxembourg,United Kingdom,3
2019,Luxembourg,France,3
2020,Malawi,Kenya,3
2021,Slovenia,France,3
2022,United Kingdom,Luxembourg,3
2023,Kuwait,Netherlands,3
2024,Malaysia,Netherlands,3
2025,Sudan,Netherlands,3
2026,South Korea,France,3
2027,Hong Kong,France,3
2028,Finland,France,3
2029,Cuba,France,3
2030,Senegal,France,3
2031,South Africa,France,3
2032,France,Madagascar,3
2033,France,Bulgaria,3
2034,France,Singapore,3
2035,France,Niger,3
2036,France,Mauritius,3
2037,France,Luxembourg,3
2038,France,Slovenia,3
2039,France,South Korea,3
2040,France,Hong Kong,3
2041,France,Finland,3
2042,France,Cuba,3
2043,France,Senegal,3
2044,France,South Africa,3
2045,France,Hungary,3
2046,France,Lebanon,3
2047,France,Jordan,3
2048,Hungary,France,3
2049,Bahrain,Netherlands,3
2050,Netherlands,Kuwait,3
2051,Netherlands,Malaysia,3
2052,Netherlands,Sudan,3
2053,Netherlands,Bahrain,3
2054,Canada,Austria,3
2055,Canada,Netherlands Antilles,3
2056,Canada,Denmark,3
2057,Canada,Saint Lucia,3
2058,Canada,Puerto Rico,3
2059,Canada,Barbados,3
2060,Austria,Canada,3
2061,Saint Lucia,Canada,3
2062,Puerto Rico,Canada,3
2063,United Kingdom,Armenia,3
2064,Armenia,United Kingdom,3
2065,Netherlands Antilles,Canada,3
2066,Denmark,Canada,3
2067,Barbados,Canada,3
2068,Austria,Jordan,3
2069,Maldives,Germany,3
2070,Kenya,Germany,3
2071,Germany,Maldives,3
2072,Jordan,Austria,3
2073,Canada,Jordan,3
2074,Puerto Rico,Antigua and Barbuda,3
2075,United States,Grenada,3
2076,Spain,Puerto Rico,3
2077,Grenada,United States,3
2078,Antigua and Barbuda,Puerto Rico,3
2079,Jordan,Canada,3
2080,South Africa,India,3
2081,India,South Africa,3
2082,Venezuela,Aruba,3
2083,Aruba,Venezuela,3
2084,Puerto Rico,British Virgin Islands,3
2085,Chad,Cameroon,3
2086,Burma,Malaysia,3
2087,Burma,India,3
2088,Malaysia,Burma,3
2089,India,Burma,3
2090,Iran,Tajikistan,3
2091,Kyrgyzstan,Tajikistan,3
2092,Tajikistan,China,3
2093,Tajikistan,Iran,3
2094,Tajikistan,Kyrgyzstan,3
2095,Netherlands Antilles,Puerto Rico,3
2096,Netherlands Antilles,Dominican Republic,3
2097,Vietnam,Philippines,3
2098,Philippines,Vietnam,3
2099,Philippines,Indonesia,3
2100,Indonesia,Philippines,3
2101,Uganda,Kenya,3
2102,Costa Rica,Nicaragua,3
2103,Mexico,Guatemala,3
2104,Guatemala,Mexico,3
2105,Malaysia,Bangladesh,3
2106,Bangladesh,Malaysia,3
2107,Maldives,China,3
2108,China,Maldives,3
2109,Guadeloupe,Dominican Republic,3
2110,Turkey,Morocco,3
2111,Morocco,Turkey,3
2112,Singapore,Macau,3
2113,Singapore,New Zealand,3
2114,Macau,Singapore,3
2115,New Zealand,Singapore,3
2116,Austria,Czech Republic,3
2117,Czech Republic,Austria,3
2118,Moldova,Hungary,3
2119,Hungary,Moldova,3
2120,France,Burkina Faso,3
2121,Mali,Burkina Faso,3
2122,Mali,France,3
2123,Kenya,Somalia,2
2124,Somalia,Kenya,2
2125,Oman,Germany,2
2126,Oman,Tanzania,2
2127,Germany,Oman,2
2128,Rwanda,Tanzania,2
2129,Tanzania,Rwanda,2
2130,Poland,Iceland,2
2131,Cape Verde,France,2
2132,France,Cape Verde,2
2133,Burma,Vietnam,2
2134,United Kingdom,Vietnam,2
2135,Vietnam,Burma,2
2136,Vietnam,United Kingdom,2
2138,Oman,Sri Lanka,2
2139,Sri Lanka,Oman,2
2140,Ukraine,Armenia,2
2141,Armenia,Ukraine,2
2142,Tunisia,Spain,2
2143,Tunisia,Algeria,2
2144,Tunisia,Belgium,2
2145,Belgium,Tunisia,2
2146,Spain,Tunisia,2
2147,Algeria,Tunisia,2
2148,Mozambique,Portugal,2
2149,Portugal,Mozambique,2
2150,Tunisia,Turkey,2
2151,Portugal,Turkey,2
2152,Turkey,Tunisia,2
2153,Turkey,Portugal,2
2154,Ukraine,Thailand,2
2155,Turkey,Thailand,2
2156,Italy,Thailand,2
2157,Thailand,Ukraine,2
2158,Thailand,Turkey,2
2159,Thailand,Italy,2
2160,El Salvador,Peru,2
2161,Peru,El Salvador,2
2163,Turkey,Turkmenistan,2
2164,United Kingdom,Turkmenistan,2
2165,India,Turkmenistan,2
2166,Turkmenistan,Turkey,2
2167,Turkmenistan,United Kingdom,2
2168,Turkmenistan,India,2
2169,Tunisia,Saudi Arabia,2
2170,Saudi Arabia,Tunisia,2
2171,Saudi Arabia,Switzerland,2
2172,Switzerland,Saudi Arabia,2
2173,Russia,Maldives,2
2174,Russia,Mexico,2
2175,Maldives,Russia,2
2176,Mexico,Russia,2
2177,Singapore,Turkey,2
2178,Singapore,Russia,2
2179,Turkey,Singapore,2
2180,Russia,Singapore,2
2182,Russia,Belgium,2
2183,Belgium,Russia,2
2184,Singapore,Denmark,2
2185,Lithuania,Denmark,2
2186,Denmark,Singapore,2
2187,Denmark,Lithuania,2
2188,Thailand,Denmark,2
2189,Guernsey,Switzerland,2
2190,Sudan,Eritrea,2
2191,Eritrea,Sudan,2
2192,New Caledonia,Japan,2
2193,Japan,New Caledonia,2
2195,Singapore,South Africa,2
2196,Nigeria,South Africa,2
2197,South Africa,Singapore,2
2198,South Africa,Nigeria,2
2199,South Africa,Senegal,2
2200,South Africa,Malawi,2
2201,South Africa,Thailand,2
2202,Senegal,South Africa,2
2203,Malawi,South Africa,2
2204,Thailand,South Africa,2
2205,Russia,Turkmenistan,2
2206,Turkmenistan,Russia,2
2207,Portugal,Sweden,2
2208,Sweden,Portugal,2
2209,Russia,Romania,2
2210,Romania,Russia,2
2211,Romania,Jordan,2
2212,Oman,Jordan,2
2213,Sudan,Jordan,2
2214,Ukraine,Jordan,2
2215,Turkey,Jordan,2
2216,Switzerland,Jordan,2
2217,India,Jordan,2
2218,Jordan,Romania,2
2219,Jordan,Oman,2
2220,Jordan,Ukraine,2
2221,Jordan,Turkey,2
2222,Jordan,Switzerland,2
2223,Jordan,India,2
2225,Faroe Islands,Denmark,2
2226,Denmark,Faroe Islands,2
2227,Tunisia,Syria,2
2228,Romania,Syria,2
2229,France,Syria,2
2230,Syria,Russia,2
2231,Syria,Tunisia,2
2232,Syria,Romania,2
2233,Syria,Sudan,2
2234,Greece,Syria,2
2235,Sweden,Syria,2
2236,Netherlands,Syria,2
2237,Syria,France,2
2238,Syria,Germany,2
2239,Syria,Greece,2
2240,Nepal,Thailand,2
2241,Thailand,Nepal,2
2242,Oman,Qatar,2
2243,Sudan,Qatar,2
2244,Switzerland,Qatar,2
2245,Qatar,Oman,2
2246,Qatar,Nepal,2
2247,Qatar,Sudan,2
2248,Qatar,Switzerland,2
2249,Qatar,Sri Lanka,2
2250,Qatar,Spain,2
2251,Qatar,Jordan,2
2252,Sri Lanka,Qatar,2
2253,Spain,Qatar,2
2254,Jordan,Qatar,2
2255,Zimbabwe,Malawi,2
2257,Malawi,Zimbabwe,2
2258,Tanzania,Uganda,2
2259,Uganda,Tanzania,2
2260,Portugal,Ukraine,2
2261,Ukraine,Portugal,2
2262,Ukraine,Belgium,2
2263,India,Ukraine,2
2264,Ukraine,India,2
2265,Belgium,Ukraine,2
2266,Pakistan,Sri Lanka,2
2267,Afghanistan,Pakistan,2
2268,Pakistan,Italy,2
2269,Pakistan,Afghanistan,2
2270,Sri Lanka,Pakistan,2
2271,France,Pakistan,2
2272,Spain,Pakistan,2
2273,Turkey,Denmark,2
2274,Denmark,Turkey,2
2275,Kenya,Turkey,2
2276,Turkey,Kenya,2
2277,South Korea,Qatar,2
2278,Qatar,South Korea,2
2279,Estonia,Ukraine,2
2280,Estonia,Denmark,2
2281,Estonia,Belgium,2
2282,Ukraine,Estonia,2
2283,Denmark,Estonia,2
2284,Belgium,Estonia,2
2285,Croatia,Turkey,2
2286,Croatia,Denmark,2
2287,Croatia,Belgium,2
2288,Turkey,Croatia,2
2289,Denmark,Croatia,2
2290,Belgium,Croatia,2
2291,Croatia,Austria,2
2292,Austria,Croatia,2
2293,Austria,Montenegro,2
2294,Austria,Portugal,2
2295,Austria,Armenia,2
2296,Austria,Belgium,2
2297,Austria,Iraq,2
2298,Montenegro,Austria,2
2299,Portugal,Austria,2
2300,Armenia,Austria,2
2301,Belgium,Austria,2
2302,Iraq,Austria,2
2303,Netherlands,Dominican Republic,2
2304,Mongolia,Russia,2
2305,Russia,Mongolia,2
2306,Czech Republic,Armenia,2
2307,Czech Republic,Belgium,2
2308,Armenia,Czech Republic,2
2309,Belgium,Czech Republic,2
2310,New Caledonia,New Zealand,2
2311,Thailand,New Zealand,2
2312,New Zealand,New Caledonia,2
2313,New Zealand,Thailand,2
2314,Iceland,Greenland,2
2315,Greenland,Iceland,2
2316,Austria,Japan,2
2317,Japan,Austria,2
2318,Japan,Denmark,2
2319,Japan,Qatar,2
2320,Qatar,Japan,2
2321,Denmark,Japan,2
2322,Vanuatu,New Caledonia,2
2323,Vanuatu,New Zealand,2
2324,New Caledonia,Vanuatu,2
2325,New Zealand,Vanuatu,2
2326,Tunisia,Egypt,2
2327,Oman,Egypt,2
2328,South Africa,Egypt,2
2329,United States,Egypt,2
2330,Denmark,Egypt,2
2331,Egypt,Tunisia,2
2332,Egypt,Oman,2
2333,Egypt,South Africa,2
2334,Egypt,United States,2
2335,Egypt,Denmark,2
2336,Egypt,Belgium,2
2337,Egypt,Iraq,2
2338,Iraq,Egypt,2
2340,Mauritius,Australia,2
2341,Australia,Mauritius,2
2342,Bangladesh,Sri Lanka,2
2343,Sri Lanka,Bangladesh,2
2344,Sri Lanka,Indonesia,2
2345,Indonesia,Sri Lanka,2
2346,Singapore,Nepal,2
2347,Nepal,Singapore,2
2348,Singapore,Mauritius,2
2349,Mauritius,Malaysia,2
2350,Oman,Malaysia,2
2351,Malaysia,Mauritius,2
2352,Malaysia,Oman,2
2353,Malaysia,Turkey,2
2354,Malaysia,Qatar,2
2355,Turkey,Malaysia,2
2356,Argentina,South Africa,2
2357,Qatar,Malaysia,2
2358,South Africa,Argentina,2
2359,Thailand,Jordan,2
2360,Jordan,Thailand,2
2361,Tunisia,Lebanon,2
2362,Nigeria,Lebanon,2
2363,Qatar,Lebanon,2
2364,Belgium,Lebanon,2
2365,Iraq,Lebanon,2
2366,Lebanon,Tunisia,2
2367,Lebanon,Nigeria,2
2368,Lebanon,Qatar,2
2369,Lebanon,Belgium,2
2370,Lebanon,Iraq,2
2371,Madagascar,Mauritius,2
2372,Madagascar,Thailand,2
2373,Mauritius,Madagascar,2
2374,Thailand,Madagascar,2
2375,Turkey,Hungary,2
2376,Syria,Hungary,2
2377,Hungary,Turkey,2
2378,Hungary,Syria,2
2379,Hungary,Greece,2
2380,Hungary,Jordan,2
2381,Greece,Hungary,2
2382,Jordan,Hungary,2
2383,Austria,Israel,2
2384,Israel,Austria,2
2385,Israel,Romania,2
2386,Israel,Armenia,2
2387,Israel,Hungary,2
2388,Israel,Belgium,2
2389,Israel,Thailand,2
2390,Romania,Israel,2
2391,Armenia,Israel,2
2392,Hungary,Israel,2
2393,Belgium,Israel,2
2394,Thailand,Israel,2
2395,Switzerland,Croatia,2
2396,Switzerland,Singapore,2
2397,Switzerland,Japan,2
2398,Switzerland,Mauritius,2
2399,Switzerland,Maldives,2
2400,Switzerland,Sri Lanka,2
2401,Croatia,Switzerland,2
2402,Singapore,Switzerland,2
2403,Japan,Switzerland,2
2404,Mauritius,Switzerland,2
2405,Maldives,Switzerland,2
2406,Sri Lanka,Switzerland,2
2407,Costa Rica,Venezuela,2
2408,Honduras,Guatemala,2
2409,El Salvador,Mexico,2
2410,Guatemala,Honduras,2
2411,Mexico,El Salvador,2
2412,Venezuela,Costa Rica,2
2413,Poland,Israel,2
2414,Poland,Romania,2
2415,Poland,Portugal,2
2416,Poland,Turkey,2
2417,Poland,Armenia,2
2418,Poland,Egypt,2
2419,Poland,Hungary,2
2420,Israel,Poland,2
2421,Romania,Poland,2
2422,Portugal,Poland,2
2423,Turkey,Poland,2
2424,Armenia,Poland,2
2425,Egypt,Poland,2
2426,Hungary,Poland,2
2427,Netherlands Antilles,Virgin Islands,2
2428,Netherlands Antilles,British Virgin Islands,2
2429,Virgin Islands,Netherlands Antilles,2
2430,Saint Kitts and Nevis,Netherlands Antilles,2
2431,Grenada,Saint Vincent and the Grenadines,2
2432,British Virgin Islands,Netherlands Antilles,2
2433,Dominica,Netherlands Antilles,2
2434,Saint Vincent and the Grenadines,Grenada,2
2435,Saint Vincent and the Grenadines,Barbados,2
2436,Barbados,Saint Vincent and the Grenadines,2
2437,Barbados,Antigua and Barbuda,2
2438,Antigua and Barbuda,Barbados,2
2439,Switzerland,Kenya,2
2440,Congo (Brazzaville),Gabon,2
2441,Gabon,Congo (Brazzaville),2
2442,Germany,Lebanon,2
2443,Lebanon,Germany,2
2444,Austria,Luxembourg,2
2445,Luxembourg,Austria,2
2446,Luxembourg,Switzerland,2
2447,Switzerland,Luxembourg,2
2448,Australia,Argentina,2
2449,Chile,Uruguay,2
2450,Chile,Paraguay,2
2451,Chile,New Zealand,2
2452,Dominican Republic,Peru,2
2453,Uruguay,Chile,2
2454,Peru,Dominican Republic,2
2455,Peru,Venezuela,2
2456,Argentina,Australia,2
2457,Venezuela,Peru,2
2458,Paraguay,Chile,2
2459,New Zealand,Chile,2
2460,Serbia,Belgium,2
2461,Equatorial Guinea,Benin,2
2463,Benin,Equatorial Guinea,2
2464,Honduras,Cayman Islands,2
2465,Jamaica,Cayman Islands,2
2466,Cayman Islands,Honduras,2
2467,Cayman Islands,Jamaica,2
2468,Oman,Kuwait,2
2469,Kuwait,Oman,2
2470,Kuwait,Germany,2
2471,Kuwait,Sri Lanka,2
2472,Germany,Kuwait,2
2473,Turkey,Kyrgyzstan,2
2474,Kyrgyzstan,Turkey,2
2475,Kyrgyzstan,United Arab Emirates,2
2476,United Arab Emirates,Kyrgyzstan,2
2477,Madagascar,Kenya,2
2478,Kenya,Madagascar,2
2479,Kenya,Mauritius,2
2480,Kenya,Nigeria,2
2481,Kenya,South Africa,2
2482,Kenya,Saudi Arabia,2
2483,Kenya,Cameroon,2
2484,Mauritius,Kenya,2
2485,Nigeria,Kenya,2
2486,South Africa,Kenya,2
2487,Saudi Arabia,Kenya,2
2488,Cameroon,Kenya,2
2489,Switzerland,Malta,2
2490,Austria,Malta,2
2491,Libya,Malta,2
2492,Malta,Switzerland,2
2493,Malta,Austria,2
2494,Malta,Libya,2
2495,Malta,Turkey,2
2496,Malta,Belgium,2
2497,Turkey,Malta,2
2498,Belgium,Malta,2
2499,Israel,Netherlands,2
2500,Estonia,Netherlands,2
2501,Dominican Republic,Netherlands,2
2502,Suriname,Netherlands,2
2503,Kenya,Zimbabwe,2
2504,Oman,Kenya,2
2505,Japan,Netherlands,2
2506,Ukraine,Netherlands,2
2507,Djibouti,Kenya,2
2508,Zimbabwe,Kenya,2
2509,Brazil,Netherlands,2
2510,Netherlands,Israel,2
2511,Netherlands,Estonia,2
2512,Netherlands,Suriname,2
2513,Netherlands,Mexico,2
2514,Netherlands,Japan,2
2515,Netherlands,Ukraine,2
2516,Netherlands,Brazil,2
2517,Netherlands,Aruba,2
2518,Mongolia,South Korea,2
2519,Palau,South Korea,2
2520,Czech Republic,South Korea,2
2521,New Caledonia,South Korea,2
2522,United Kingdom,South Korea,2
2523,South Korea,Mongolia,2
2524,South Korea,Palau,2
2525,South Korea,Czech Republic,2
2526,South Korea,New Caledonia,2
2527,South Korea,United Kingdom,2
2528,South Korea,India,2
2529,India,South Korea,2
2530,Netherlands,South Korea,2
2531,Austria,Kazakhstan,2
2532,Kazakhstan,Austria,2
2533,South Korea,Kazakhstan,2
2534,Kazakhstan,South Korea,2
2535,Slovakia,Poland,2
2536,Poland,Slovakia,2
2537,Dominican Republic,Turks and Caicos Islands,2
2538,Turks and Caicos Islands,Dominican Republic,2
2539,Turks and Caicos Islands,Haiti,2
2540,Haiti,Turks and Caicos Islands,2
2541,Poland,Serbia,2
2542,Russia,Serbia,2
2543,Romania,Serbia,2
2544,Denmark,Serbia,2
2545,Serbia,Poland,2
2546,Serbia,Russia,2
2547,Serbia,Romania,2
2548,Serbia,Denmark,2
2549,Netherlands,Serbia,2
2550,Switzerland,Slovenia,2
2551,Austria,Slovenia,2
2552,Montenegro,Slovenia,2
2553,Russia,Slovenia,2
2554,Slovenia,Switzerland,2
2555,Slovenia,Austria,2
2556,Slovenia,Montenegro,2
2557,Slovenia,Russia,2
2558,Slovenia,Turkey,2
2559,Slovenia,Denmark,2
2560,Slovenia,Belgium,2
2561,Turkey,Slovenia,2
2562,Denmark,Slovenia,2
2563,Belgium,Slovenia,2
2564,French Polynesia,Japan,2
2565,Japan,French Polynesia,2
2566,Singapore,Spain,2
2567,Spain,Thailand,2
2568,Thailand,Spain,2
2569,Spain,Singapore,2
2570,Bosnia and Herzegovina,Turkey,2
2571,Turkey,Bosnia and Herzegovina,2
2573,Austria,Azerbaijan,2
2574,Czech Republic,Azerbaijan,2
2575,Azerbaijan,Austria,2
2576,Azerbaijan,Czech Republic,2
2578,Israel,Jordan,2
2579,Jordan,Israel,2
2580,Yemen,Kuwait,2
2581,Yemen,Syria,2
2582,Kuwait,Yemen,2
2583,Syria,Yemen,2
2584,India,Yemen,2
2585,Yemen,India,2
2586,Austria,Iran,2
2587,Russia,Iran,2
2588,Iran,Austria,2
2589,Iran,Russia,2
2590,Iran,Azerbaijan,2
2591,Iran,India,2
2592,Iran,Thailand,2
2593,Iran,Lebanon,2
2594,Iran,Sweden,2
2595,Iran,Netherlands,2
2596,Azerbaijan,Iran,2
2597,Thailand,Iran,2
2598,Lebanon,Iran,2
2599,Sweden,Iran,2
2600,Netherlands,Iran,2
2601,Tanzania,Italy,2
2602,Maldives,Italy,2
2603,Fiji,Solomon Islands,2
2604,Solomon Islands,Fiji,2
2605,Equatorial Guinea,Spain,2
2606,Chile,Spain,2
2607,Uruguay,Spain,2
2608,Spain,Equatorial Guinea,2
2609,Spain,Chile,2
2610,Spain,Uruguay,2
2611,Ecuador,Spain,2
2612,Mauritania,Mali,2
2613,Mali,Mauritania,2
2614,Uzbekistan,Malaysia,2
2615,Uzbekistan,Turkey,2
2616,Uzbekistan,Italy,2
2617,Uzbekistan,United Arab Emirates,2
2618,Uzbekistan,India,2
2619,Malaysia,Uzbekistan,2
2620,Turkey,Uzbekistan,2
2621,Italy,Uzbekistan,2
2622,United Arab Emirates,Uzbekistan,2
2623,India,Uzbekistan,2
2624,Switzerland,China,2
2625,China,Switzerland,2
2626,China,Ukraine,2
2627,China,Hungary,2
2628,China,Belgium,2
2629,Ukraine,China,2
2630,Hungary,China,2
2631,Belgium,China,2
2633,United States,Philippines,2
2635,France,Monaco,2
2636,Monaco,France,2
2638,Philippines,Bahrain,2
2639,Oman,Bahrain,2
2640,Malaysia,Bahrain,2
2641,Turkey,Bahrain,2
2642,Italy,Bahrain,2
2643,Syria,Bahrain,2
2644,Sri Lanka,Bahrain,2
2645,Egypt,Bahrain,2
2646,Thailand,Bahrain,2
2647,Bahrain,Philippines,2
2648,Bahrain,Oman,2
2649,Bahrain,Malaysia,2
2650,Bahrain,Turkey,2
2651,Bahrain,Italy,2
2652,Bahrain,Syria,2
2653,Bahrain,Sri Lanka,2
2654,Bahrain,Egypt,2
2655,Bahrain,Thailand,2
2656,Brazil,Venezuela,2
2657,Venezuela,Brazil,2
2658,Azerbaijan,United Arab Emirates,2
2659,Armenia,United Arab Emirates,2
2660,United Arab Emirates,Azerbaijan,2
2661,United Arab Emirates,Armenia,2
2662,United Arab Emirates,Turkmenistan,2
2663,Turkmenistan,United Arab Emirates,2
2664,Lithuania,Spain,2
2665,Sweden,Ireland,2
2666,France,Malta,2
2667,Malta,France,2
2668,Malta,Spain,2
2669,Spain,Malta,2
2670,Lithuania,Netherlands,2
2671,Netherlands,Malta,2
2672,Netherlands,Lithuania,2
2673,Ireland,Sweden,2
2674,Slovakia,Italy,2
2675,Italy,Slovakia,2
2676,Spain,Lithuania,2
2677,Tonga,Fiji,2
2678,Fiji,Tonga,2
2679,United States,Kiribati,2
2680,Kiribati,United States,2
2681,Norway,Iceland,2
2682,Iceland,Norway,2
2683,Iceland,Germany,2
2684,Iceland,Denmark,2
2685,Germany,Iceland,2
2686,Denmark,Iceland,2
2687,Afghanistan,Tajikistan,2
2688,Tajikistan,Afghanistan,2
2689,Macau,Thailand,2
2690,Thailand,Macau,2
2691,Poland,Bulgaria,2
2692,Israel,Bulgaria,2
2693,Bulgaria,Poland,2
2694,Bulgaria,Israel,2
2695,Bulgaria,Czech Republic,2
2696,Bulgaria,Ukraine,2
2697,Bulgaria,Belgium,2
2698,Czech Republic,Bulgaria,2
2699,Ukraine,Bulgaria,2
2700,Belgium,Bulgaria,2
2702,Netherlands,Bulgaria,2
2703,Equatorial Guinea,Ethiopia,2
2704,Nigeria,Cameroon,2
2705,Togo,Senegal,2
2706,Togo,Ethiopia,2
2707,Togo,Nigeria,2
2708,Kuwait,Ethiopia,2
2709,Rwanda,Ethiopia,2
2710,South Sudan,Ethiopia,2
2711,Turkey,Ethiopia,2
2712,Germany,Ethiopia,2
2713,Congo (Kinshasa),Ethiopia,2
2714,Cameroon,Nigeria,2
2715,Cameroon,Ethiopia,2
2716,Senegal,Togo,2
2717,Guinea,Mali,2
2718,Egypt,Ethiopia,2
2719,Mali,Guinea,2
2720,Central African Republic,Ethiopia,2
2721,Ethiopia,Equatorial Guinea,2
2722,Ethiopia,Togo,2
2723,Ethiopia,Kuwait,2
2724,Ethiopia,South Sudan,2
2725,Ethiopia,Turkey,2
2726,Ethiopia,Germany,2
2727,Ethiopia,Cameroon,2
2728,Ethiopia,Egypt,2
2729,Ethiopia,Congo (Kinshasa),2
2730,Ethiopia,Central African Republic,2
2731,Ethiopia,Nigeria,2
2732,Nigeria,Togo,2
2733,Nigeria,Ethiopia,2
2734,Iran,Oman,2
2735,Oman,Iran,2
2736,Canada,United Arab Emirates,2
2737,Austria,United Arab Emirates,2
2738,Tunisia,United Arab Emirates,2
2739,Seychelles,United Arab Emirates,2
2740,Mauritius,United Arab Emirates,2
2741,Maldives,United Arab Emirates,2
2742,Malta,Cyprus,2
2743,Cyprus,Malta,2
2744,Angola,United Arab Emirates,2
2745,Brazil,United Arab Emirates,2
2746,United Arab Emirates,Canada,2
2747,United Arab Emirates,Austria,2
2748,United Arab Emirates,Tunisia,2
2749,United Arab Emirates,Seychelles,2
2750,United Arab Emirates,Mauritius,2
2751,United Arab Emirates,Maldives,2
2752,United Arab Emirates,Brazil,2
2753,Ireland,United Arab Emirates,2
2754,Austria,Ireland,2
2755,Ireland,Austria,2
2756,Ireland,Hungary,2
2757,Ireland,Belgium,2
2758,Hungary,Ireland,2
2759,Belgium,Ireland,2
2760,Czech Republic,Norway,2
2761,Norway,Czech Republic,2
2762,Norway,Morocco,2
2763,United Arab Emirates,Denmark,2
2764,Ireland,Denmark,2
2765,Denmark,United Arab Emirates,2
2766,Denmark,Ireland,2
2767,Denmark,Hungary,2
2768,Denmark,Morocco,2
2769,Hungary,Denmark,2
2770,Sweden,Morocco,2
2771,Morocco,Norway,2
2772,Morocco,Denmark,2
2773,Morocco,Sweden,2
2774,Kenya,Angola,2
2775,Mozambique,Angola,2
2776,Spain,Angola,2
2777,Angola,Kenya,2
2778,Angola,Mozambique,2
2779,Angola,Spain,2
2780,Angola,Brazil,2
2781,Angola,Germany,2
2782,Brazil,Angola,2
2783,Germany,Angola,2
2784,Cape Verde,Senegal,2
2785,Mauritania,Senegal,2
2786,Senegal,Cape Verde,2
2787,Senegal,Mauritania,2
2788,Senegal,Guinea,2
2789,Senegal,Cote d'Ivoire,2
2790,Guinea,Senegal,2
2791,Cote d'Ivoire,Senegal,2
2792,Palau,Japan,2
2793,Czech Republic,United States,2
2794,Japan,Palau,2
2795,United States,Czech Republic,2
2796,United States,Greece,2
2797,Uganda,Netherlands,2
2798,Saudi Arabia,Netherlands,2
2799,Greece,United States,2
2800,Netherlands,Rwanda,2
2801,Netherlands,Saudi Arabia,2
2802,Tonga,New Zealand,2
2803,Cook Islands,New Zealand,2
2804,Solomon Islands,Australia,2
2805,Australia,Samoa,2
2806,Samoa,New Zealand,2
2807,New Zealand,Tonga,2
2808,New Zealand,Cook Islands,2
2809,New Zealand,Samoa,2
2810,Saint Lucia,Barbados,2
2811,Costa Rica,Dominican Republic,2
2812,Dominican Republic,Costa Rica,2
2813,France,Malaysia,2
2814,Malaysia,France,2
2815,Malaysia,Iran,2
2816,Malaysia,New Zealand,2
2817,Iran,Malaysia,2
2818,New Zealand,Malaysia,2
2819,Reunion,South Africa,2
2820,South Africa,Reunion,2
2821,Benin,Mali,2
2822,Congo (Kinshasa),Benin,2
2823,Mali,Benin,2
2824,China,Azerbaijan,2
2825,Uzbekistan,China,2
2826,China,Uzbekistan,2
2827,Iran,China,2
2828,Azerbaijan,China,2
2829,Bangladesh,China,2
2830,China,Bangladesh,2
2831,Romania,Cyprus,2
2832,Cyprus,Romania,2
2833,Cyprus,Lebanon,2
2834,Cyprus,Bahrain,2
2835,Cyprus,Netherlands,2
2836,Syria,Cyprus,2
2837,Lebanon,Cyprus,2
2838,Bahrain,Cyprus,2
2839,Netherlands,Cyprus,2
2840,Fiji,Hong Kong,2
2841,South Africa,Hong Kong,2
2842,Hong Kong,Fiji,2
2843,Hong Kong,South Africa,2
2844,Hong Kong,Italy,2
2845,Hong Kong,Netherlands,2
2846,Italy,Hong Kong,2
2847,Netherlands,Hong Kong,2
2848,New Zealand,Hong Kong,2
2849,Costa Rica,Cuba,2
2850,Cuba,Costa Rica,2
2851,Cuba,Venezuela,2
2852,Venezuela,Cuba,2
2853,Micronesia,Palau,2
2854,Palau,Micronesia,2
2855,Palau,Philippines,2
2856,Palau,Guam,2
2857,Philippines,Palau,2
2858,Philippines,Guam,2
2859,Marshall Islands,United States,2
2860,United States,Marshall Islands,2
2861,United States,Guam,2
2862,Hong Kong,Guam,2
2863,Guam,Palau,2
2864,Guam,Philippines,2
2865,Guam,United States,2
2866,Guam,Hong Kong,2
2867,Guam,Australia,2
2868,Australia,Guam,2
2869,El Salvador,Panama,2
2870,Panama,El Salvador,2
